Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Date
Serbia,116.08,36.04,62.27,51.74,36.98,17.90,31.02,61.21,83.23,2020-mid
Kuwait,115.14,79.31,65.43,58.14,49.86,13.08,33.98,66.37,20.22,2020-mid
Argentina,114.21,43.38,37.74,69.16,31.18,24.09,42.99,50.61,98.28,2020-mid
Jordan,114.06,34.70,59.17,65.46,53.40,7.88,41.69,76.81,89.05,2020-mid
Panama,112.01,33.79,53.80,60.43,55.02,11.79,37.11,59.03,67.84,2020-mid
North Macedonia,108.99,33.30,61.39,56.22,32.96,12.36,27.61,80.23,76.30,2020-mid
India,105.86,50.55,55.58,66.21,24.12,11.34,46.83,79.56,64.74,2020-mid
Brazil,105.28,30.36,31.69,56.87,30.99,16.47,41.63,54.67,94.10,2020-mid
Ukraine,105.26,30.90,51.16,52.69,30.05,11.88,38.32,65.14,71.14,2020-mid
Pakistan,105.09,28.39,55.82,60.69,21.00,12.46,37.77,73.48,71.93,2020-mid
China,104.96,60.44,68.82,66.62,39.51,28.40,41.44,79.88,78.17,2020-mid
Morocco,104.94,33.44,51.03,46.32,34.44,13.60,36.04,70.10,87.96,2020-mid
Hong Kong,103.19,67.02,79.09,66.35,77.90,43.52,42.41,67.60,83.64,2020-mid
Azerbaijan,102.69,27.19,67.88,44.59,31.14,16.45,39.99,76.30,91.40,2020-mid
Chile,102.02,35.55,50.40,64.38,45.43,17.94,35.16,79.74,90.21,2020-mid
Colombia,101.70,27.92,45.06,66.80,29.02,19.29,47.16,62.44,86.04,2020-mid
Thailand,101.64,33.02,59.99,78.04,48.97,21.59,38.54,75.26,69.45,2020-mid
Russia,101.57,35.96,59.40,58.01,33.66,11.30,45.00,62.58,39.51,2020-mid
Lebanon,99.64,35.28,55.93,63.65,64.26,14.47,38.59,88.91,94.74,2020-mid
Kazakhstan,98.15,38.26,45.19,60.94,31.01,9.36,33.72,72.10,39.78,2020-mid
Indonesia,91.63,22.19,53.94,60.51,36.86,21.27,43.37,66.90,68.48,2020-mid
Egypt,86.78,21.09,53.35,46.29,29.55,13.42,49.34,84.69,91.98,2020-mid
Vietnam,86.49,26.98,53.48,58.03,38.12,21.90,29.85,86.05,71.24,2020-mid
Peru,85.28,30.66,34.35,56.45,37.64,15.57,48.81,83.34,97.69,2020-mid
Sri Lanka,80.36,21.42,59.77,72.44,32.93,34.98,56.95,60.03,59.11,2020-mid
Philippines,79.18,21.38,57.78,67.52,39.25,29.92,44.60,74.24,61.11,2020-mid
Iran,70.32,21.88,51.09,52.23,38.47,29.83,47.44,76.69,70.99,2020-mid
Kenya,66.60,28.98,38.27,55.58,37.75,36.33,56.96,76.56,99.79,2020-mid
Bangladesh,66.29,27.59,36.18,43.08,33.41,14.30,59.01,85.83,72.91,2020-mid
Nigeria,54.91,11.10,36.73,50.05,29.76,16.19,62.14,86.89,60.75,2020-mid
